,Real GDP growth (Annual percent change),2024,2025,2026,2027,2028
82,Israel,4.0430884,4.038139,4.0331893,4.0282397,4.02329
83,Italy,0.7010745,0.7010745,0.7010745,0.7010745,0.7010745
84,Jamaica,1.1910957,1.1910957,1.1910957,1.1910957,1.1910957
85,Japan,0.5287158,0.42686048,0.42452365,0.40663674,0.3919644
86,Jordan,2.888742,2.888742,2.888742,2.888742,2.888742
87,Kazakhstan,5.30093,2.8384163,3.7548494,2.8027313,2.94048
88,Kenya,5.4603844,4.9779625,4.7105756,4.553853,4.3108397
89,Kiribati,2.4254787,2.4855652,2.5387917,2.5937476,2.6498516
90,"Korea, Republic of",2.2937188,2.29183,2.251051,2.2170842,2.1826608
91,Kosovo,3.6631727,3.6283276,3.5912056,3.5539885,3.5170705
92,Kuwait,2.938779,2.938779,2.938779,2.938779,2.938779
93,Kyrgyz Republic,3.9028869,3.9555562,4.0076256,4.059045,4.109779
94,Lao P.D.R.,3.3593132,3.3593132,3.3593132,3.3593132,3.3593132
95,Latvia,1.0496969,0.7015277,0.63139784,0.5267277,0.44729567
96,Lebanon,-2.4681277,-2.5941217,-2.7201154,-2.8461094,-2.972103
97,Lesotho,1.4361049,1.4361049,1.4361049,1.4361049,1.4361049
98,Liberia,2.9648082,2.993563,3.022318,3.0510728,3.0798278
99,Libya,3.9670682,4.130975,4.294882,4.4587884,4.622695
100,Lithuania,2.3749561,2.2910893,2.2072222,2.1233554,2.0394883
101,Luxembourg,1.9437627,1.9437627,1.9437627,1.9437627,1.9437627
102,Macao SAR,8.294488,5.6778812,4.8358316,4.4671807,4.229494
103,Madagascar,4.0248847,4.2256765,4.405642,4.591943,4.7860637
104,Malawi,4.2096324,4.2659163,4.3222,4.3784833,4.4347672
105,Malaysia,4.348031,4.3251977,4.299733,4.274588,4.24958
106,Maldives,5.784402,5.6347995,5.5359077,5.443846,5.353865
107,Mali,4.7482896,4.7478313,4.747465,4.7471724,4.7469378
108,Malta,4.0442004,4.0441995,4.044199,4.044198,4.044197
109,Marshall Islands,1.4400188,1.4400188,1.4400188,1.4400188,1.4400188
110,Mauritania,4.173853,4.23009,4.286328,4.3425655,4.398803
111,Mauritius,4.071463,4.071463,4.071463,4.071463,4.071463
112,Mexico,2.0258982,2.0478103,2.0716784,2.095938,2.1204891
113,"Micronesia, Fed. States of",0.15795209,0.15857753,0.15929277,0.16007581,0.16090903
114,Moldova,3.191826,3.6704984,4.149171,4.627843,5.1065154
115,Mongolia,4.502674,4.502674,4.502674,4.502674,4.502674
116,Montenegro,2.9026074,2.9026074,2.9026074,2.9026074,2.9026074
117,Morocco,3.0547497,3.038524,3.020516,3.0024457,2.9844682
118,Mozambique,3.8153849,3.8153849,3.8153849,3.8153849,3.8153849
119,Myanmar,0.28228936,0.4336254,0.37039813,0.36504588,0.34537333
120,Namibia,1.5509828,1.5509828,1.5509828,1.5509828,1.5509828
121,Nauru,3.288179,3.0894198,2.8906608,2.691902,2.4931428
122,Nepal,4.5192504,4.527722,4.5362296,4.544755,4.5532966
123,Netherlands,1.5501043,1.5253258,1.5005473,1.4757688,1.4509903
124,New Zealand,2.5784948,2.5784948,2.5784948,2.5784948,2.5784948
125,Nicaragua,3.3760843,3.3760843,3.3760843,3.3760843,3.3760843
126,Niger,6.8449616,6.9835286,7.183389,7.3826485,7.588113
127,Nigeria,3.0549412,2.9555655,2.9706852,2.918146,2.906229
128,North Macedonia ,2.241373,2.2551882,2.2689972,2.282752,2.296415
129,Norway,1.9620218,1.7559981,1.6779425,1.5646919,1.472253
130,Oman,1.9732362,2.4342365,2.4342365,2.4342365,2.4342365
131,Pakistan,3.5458903,3.5458903,3.5458903,3.5458903,3.5458903
132,Palau,5.292707,0.0,0.0,0.0,0.0
133,Panama,4.6260266,4.6260266,4.6260266,4.6260266,4.6260266
134,Papua New Guinea,3.4005773,3.4005773,3.4005773,3.4005773,3.4005773
135,Paraguay,3.297596,3.297596,3.297596,3.297596,3.297596
136,Peru,3.2135768,3.2135768,3.2135768,3.2135768,3.2135768
137,Philippines,4.8699,4.9127464,4.94116,4.97079,5.000522
138,Poland,2.1636972,3.235614,3.235614,3.235614,3.235614
139,Portugal,1.58529,1.58529,1.58529,1.58529,1.58529
140,Puerto Rico,0.09908432,-0.040234145,-0.1795526,-0.31887108,-0.45818955
141,Qatar,2.6158097,2.7738643,2.931919,3.0899737,3.2480285
142,Romania,3.0941615,3.0941615,3.0941615,3.0941615,3.0941615
143,Russian Federation,0.90065795,0.5307588,0.6415838,0.5730088,0.57258594
144,Rwanda,7.671914,7.80333,7.9347453,8.066161,8.1975765
145,Saint Kitts and Nevis,2.5628972,2.5628972,2.5628972,2.5628972,2.5628972
146,Saint Lucia,1.7724397,1.7396129,1.707394,1.6757718,1.6447353
147,Saint Vincent and the Grenadines,2.234541,2.234541,2.234541,2.234541,2.234541
148,Samoa,3.6846898,-0.30332437,0.46370155,0.22430155,0.21538086
149,San Marino,1.7647582,1.3030697,1.2300642,1.0820067,0.9700583
150,Saudi Arabia,2.2881951,2.2881951,2.2881951,2.2881951,2.2881951
151,Senegal,5.023596,5.023596,5.023596,5.023596,5.023596
152,Serbia,3.0128229,3.0128229,3.0128229,3.0128229,3.0128229
153,Seychelles,3.5955868,3.5955868,3.5955868,3.5955868,3.5955868
154,Sierra Leone,3.0681977,3.1381354,3.2080731,3.2780108,3.3479486
155,Singapore,2.958329,2.823085,2.6878412,2.5525973,2.4173534
156,Slovak Republic,2.520482,2.520482,2.520482,2.520482,2.520482
157,Slovenia,2.9123707,2.9123707,2.9123707,2.9123707,2.9123707
158,Solomon Islands,1.4463931,0.8368212,0.48414895,0.28010786,0.16205843
159,Somalia,2.8852315,2.8852315,2.8852315,2.8852315,2.8852315
160,South Africa,1.2009711,1.2009711,1.2009711,1.2009711,1.2009711
161,"South Sudan, Republic of",-0.25443816,2.0242155,2.736785,3.3231096,3.9906385
162,Spain,2.116287,2.116287,2.116287,2.116287,2.116287
163,Sri Lanka,-1.1778078,-1.2434218,-1.186589,-1.1615725,-1.1295937
164,Sudan,2.03856,-0.3198993,0.35411397,0.10667127,0.14812215
165,Suriname,0.58970785,0.0,0.0,0.0,0.0
166,Sweden,2.2955165,2.2955165,2.2955165,2.2955165,2.2955165
167,Switzerland,1.801685,1.801685,1.801685,1.801685,1.801685
168,Syria,4.3506193,4.3506193,4.3506193,4.3506193,4.3506193
169,São Tomé and Príncipe,3.2181582,3.3229063,3.4276543,3.5324023,3.6371503
170,Taiwan Province of China,2.274802,2.1233008,1.9717993,1.820298,1.6687967
171,Tajikistan,5.0003,5.0003,5.0003,5.0003,5.0003
172,Tanzania,5.252283,5.3450785,5.437874,5.530669,5.6234646
173,Thailand,3.1851528,3.0916667,3.0509884,3.0332882,3.0255864
174,Timor-Leste,3.0951822,3.0951822,3.0951822,3.0951822,3.0951822
175,Togo,5.349306,5.4474125,5.545519,5.6436257,5.7417326
176,Tonga,0.6904491,0.6904491,0.6904491,0.6904491,0.6904491
177,Trinidad and Tobago,2.0730925,2.0730925,2.0730925,2.0730925,2.0730925
178,Tunisia,1.6646904,1.6646904,1.6646904,1.6646904,1.6646904
179,Turkmenistan,2.265804,2.265804,2.265804,2.265804,2.265804
180,Tuvalu,2.2177827,2.2177827,2.2177827,2.2177827,2.2177827
181,"Türkiye, Republic of",4.927762,3.325962,2.7065113,2.7371495,2.1889422
182,Uganda,5.0585837,5.0903807,5.122178,5.153975,5.185772
183,Ukraine,-7.012128,-6.9624395,-6.912751,-6.863063,-6.813374
184,United Arab Emirates,3.8742874,3.9252973,3.9763074,4.0273175,4.0783277
185,United Kingdom,1.7988387,1.7988387,1.7988387,1.7988387,1.7988387
186,United States,2.0188498,2.0116355,2.0044467,1.9972837,1.9901462
187,Uruguay,2.5940468,2.5940468,2.5940468,2.5940468,2.5940468
188,Uzbekistan,5.5925207,5.5954328,5.5977626,5.5996265,5.6011176
189,Vanuatu,2.8672225,2.9268074,2.9720304,3.0172033,3.0630267
190,Venezuela,4.3543177,4.3543177,4.3543177,4.3543177,4.3543177
191,Vietnam,6.3459797,6.2800436,6.227295,6.185096,6.1513367
192,West Bank and Gaza,3.2505126,3.2505126,3.2505126,3.2505126,3.2505126
193,Yemen,-1.3519878,-1.317818,-1.2245203,-1.146595,-1.0722846
194,Zambia,3.1273837,3.1273837,3.1273837,3.1273837,3.1273837
195,Zimbabwe,2.668925,2.668925,2.668925,2.668925,2.668925
196,Africa (Region),3.3821359,3.4315834,3.4544153,3.487463,3.5170927
197,Asia and Pacific,4.507805,4.4870806,4.467543,4.447906,4.4283867
198,Australia and New Zealand,2.4447916,2.427884,2.4109766,2.394069,2.3771615
199,Caribbean,7.3221517,4.3818035,3.1104565,1.9229715,1.3290907
200,Central America,3.937365,3.937365,3.937365,3.937365,3.937365
201,Central Asia and the Caucasus,4.013208,3.9132326,3.8157475,3.720691,3.6280024
202,East Asia,4.162875,4.1141396,4.092688,4.063827,4.0372734
203,Eastern Europe ,1.6988938,0.69083005,1.123072,0.8307843,0.90860367
204,Europe,1.6871305,1.6871301,1.6871296,1.6871291,1.6871287
205,Middle East (Region),3.3433018,3.3433018,3.3433018,3.3433018,3.3433018
206,North Africa,4.033928,4.084081,4.134089,4.184653,4.235831
207,North America,1.8692741,1.8544254,1.8362408,1.8178926,1.7996937
208,Pacific Islands ,2.9818957,2.9909337,2.9999716,3.0090098,3.018048
209,South America,2.0981507,2.1037667,2.1208892,2.1390827,2.1575072
210,South Asia,5.814542,5.818648,5.8234625,5.8283405,5.8332276
211,Southeast Asia,5.178514,5.178514,5.178514,5.178514,5.178514
212,Sub-Saharan Africa (Region) ,3.2460501,3.2460501,3.2460501,3.2460501,3.2460501
213,Western Europe,1.4390117,1.4351517,1.431302,1.4274626,1.4236336
214,Western Hemisphere (Region),1.9679518,1.9591702,1.9477773,1.9362043,1.9246773
215,ASEAN-5,5.025013,5.025013,5.025013,5.025013,5.025013
216,Advanced economies,1.733221,1.7292178,1.7173067,1.7059846,1.6947045
217,Emerging and Developing Asia,4.935452,4.8520675,4.825767,4.7792835,4.7405825
218,Emerging and Developing Europe,1.7882483,1.8248903,1.8615322,1.8981742,1.9348161
219,Emerging market and developing economies,3.9072871,3.9072871,3.9072871,3.9072871,3.9072871
220,Euro area,1.4850241,1.4850241,1.4850241,1.4850241,1.4850241
221,European Union,1.7874736,1.787473,1.7874724,1.7874717,1.787471
222,Latin America and the Caribbean,2.3663576,2.3663561,2.366355,2.3663538,2.3663526
223,Major advanced economies (G7),1.6843386,1.6843386,1.6843386,1.6843386,1.6843386
224,Middle East and Central Asia,3.4087405,3.4531684,3.4975963,3.5420241,3.586452
225,Other advanced economies,2.4755876,2.46845,2.4463308,2.4260013,2.405671
226,Sub-Saharan Africa,3.429431,3.429431,3.429431,3.429431,3.429431
227,World,3.260613,3.2644782,3.2683434,3.272209,3.2760742
